"","fulcrum_id","fulcrum_parent_id","bag_id","time_of_capture","body_temperature","microhabitat_type","microhabitat_temperature","bag_photo"
"76","ed9410df-ef7f-4dbf-b222-302092976697","7a980dea-bf83-4def-9194-10c335ae3832","BAG22",22:47:00,21.7,"Wet ground",21.6,"d2c1cd01-e177-4882-9bcd-c7e1cddaae02"
"77","b0deaa66-07ee-4679-9e07-e9d8d09957bc","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG11",21:20:00,19.4,"Tree/Log/Bush (Higher than 1m)",19.4,"68bdd7d0-b33f-47fc-aa98-e19f417a839e"
"78","efb38615-d671-44d0-90d1-c2a7cdc9e6e5","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG10",21:32:00,18.7,"Water",18.7,"be6372f4-0730-46de-bc20-b0ae380c478a"
"79","75bd0070-9369-45a6-98ed-bbfdf8bd07d1","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG09",21:36:00,19.1,"Water",19,"54b45cdd-d90d-4a33-a5be-bc1a1ed107bf"
"80","90b18803-8acf-4d0d-96de-4e4590ccd2f4","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG08",21:42:00,18.9,"Water",19,"0752a2ea-1865-40de-92bb-c5dc9caa8430"
"81","d4b44ed5-9594-44aa-aa66-3edd88f70c7e","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG13",21:50:00,18.8,"Water",18.8,"b7c4bb40-02d0-4703-9f0f-eef9432c222e"
"82","c5e5c929-2485-4039-9fd5-43c51113c90e","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG02",21:56:00,18.9,"Water",18.7,"9d8d8654-d229-47cf-b9e7-04d544201bef"
"83","f6a4fbd1-72da-49bb-bff9-abdd3c78068f","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG05",22:05:00,18.6,"Water",18.6,"364a7ea8-673d-4711-a409-9e7691fbb5c8"
"84","6a9452a6-f5eb-42fc-bda1-d24a73162403","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG06",22:12:00,18.6,"Water",18,"08698b8f-761b-4630-b307-4ae72d656b70"
"85","73b7029d-d36c-4eff-8c79-79afcbff1e8e","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG16",22:17:00,18.9,"Water",18.8,"e6748058-89e1-42d5-9863-673de8e41fc0"
"86","6305b23a-4f44-4c03-892d-536a09d8c725","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG01",22:24:00,18.5,"Water",18.5,"0b7c71b6-9829-4e0f-8176-a85d6dcf1dfa"
"87","68d19c12-8323-4cab-8b32-17a100ee2ce0","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG03",22:28:00,18.5,"Water",18.5,"63596285-72d0-44d2-81d1-18b21d31738c"
"88","7c5cbd22-9b3c-4c7d-88ed-43d10a5ac9ae","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG15",22:34:00,17.8,"Water",18,"ed7c1f50-09d5-4684-abec-4336a85e0dd7"
"89","a044e4e7-8e03-42a8-9feb-7f9d73842fd5","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG14",22:38:00,18.3,"Water",18.3,"88002404-e6f3-4d08-9d56-c9de807ab2b4"
"90","7516faa3-0dae-40d4-8a05-e957caf62dc7","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG12",22:44:00,18.5,"Water",18.5,"f72c6c30-f47d-4ef2-a0f1-1076be76e611"
"91","f98e9def-068e-4d11-860c-56f960b3b672","3470e58d-a7e7-4780-8cb6-333afaa7fa61","BAG04",22:57:00,18.3,"Water",18.2,"b99bc25a-d4d4-4c2a-8f43-fd3abcb588e1"
"92","365ffa04-a06a-441f-8d02-627b9460f77b","0779b0a9-2c38-4308-8f9e-8acaa28bba41","BAG48",21:06:00,17.4,"Water",17.1,"7e19ca50-d1c4-4dbc-b7b6-3227122e7a94"
"93","2450a2d0-d2f2-4792-a5f2-f8dc3d914fab","1a457ca2-d3d6-41c4-a69e-3e14190fd966","BAG03",21:16:00,16.7,"Water",16.6,"3b50ec2e-ea09-4853-a48f-0285ad3589c8"
"94","c8d0a8d6-21c6-4097-9fc6-b2732d0a7914","1a457ca2-d3d6-41c4-a69e-3e14190fd966","BAG25",21:19:00,16.6,"Water",16.6,"11d06780-c0a6-48e3-8c28-1e44f5360baa"
"95","1e8b2bb2-d523-4498-a8da-cd7760bf3b02","1a457ca2-d3d6-41c4-a69e-3e14190fd966","BAG21",21:37:00,15.2,"Emergent Vegetation (Lower than 1m)",15.3,"5c69ecf3-f5e7-4d53-81c0-c2ffb62a5bd2"
"96","a1446f15-b461-4737-a93c-f9814d9d1c59","1a457ca2-d3d6-41c4-a69e-3e14190fd966","BAG13",21:41:00,15.5,"Water",15.5,"f8308892-7011-4b62-bbda-50fef15932bb"
"97","cc419f86-8000-45e8-9caf-32d5aa5dee96","e7acbc0b-f947-4246-b907-1d0389906d8e","BAG18",21:12:00,18.1,"Water",18.3,"ac68522c-13b6-4278-b683-425708855545"
"98","bb06e04a-5264-4fc3-9b14-a6f84e85fe1f","e7acbc0b-f947-4246-b907-1d0389906d8e","BAG19",21:24:00,16.7,"Wet ground",16.7,"5b3686a2-3909-48e9-a24c-08009e51a745"
"99","c7dfb15e-24d5-4c89-a3d1-2bb136b13af1","e7acbc0b-f947-4246-b907-1d0389906d8e","BAG12",21:29:00,NA,NA,NA,"5000b793-29fd-4312-a71b-4de60f840f21"
"100","5da0c08e-a2d6-443c-85ba-eadee4db4a98","e7acbc0b-f947-4246-b907-1d0389906d8e","BAG15",21:51:00,16.8,"Water",16.8,"f6620b6a-3bef-482c-b0bd-4f6ba86e511b"
"101","ee9b6db3-eb9d-46d6-aa54-da275a806eae","080fd78e-2010-4b2e-8ffd-ebff0da31da8","BAG10",10:55:00,15.2,"Wet ground",15.5,"8a115429-6492-4b21-a51e-dbb3b559b455"
"102","eaf27f98-adc2-4b2b-a561-2419d0b41e12","080fd78e-2010-4b2e-8ffd-ebff0da31da8","BAG08",11:14:00,15,"Wet ground",15.1,"a9508a99-a95a-4832-bba7-f217ff644974"
"103","a87c5038-4166-4781-898d-ef93c0bf958c","080fd78e-2010-4b2e-8ffd-ebff0da31da8","BAG09",11:19:00,15.4,"Wet ground",15.5,"8f25b80d-5190-4173-83c9-e7e02c8349dc"
"104","b164e0ca-2f71-4739-a4cd-f0b70edd6845","080fd78e-2010-4b2e-8ffd-ebff0da31da8","BAG07",11:23:00,15.3,"Wet ground",16.6,"87c8fa3d-743d-461d-bf45-32a8a9060884"
"105","efacc140-1244-4b59-8924-814495773cbc","57104ba3-a7a4-446f-850a-b687fcd724b7","BAG40",10:51:00,14.3,"Wet ground",14,"70a06097-6ab8-4aa4-8572-13df044766a7"
"106","11ecce06-e321-44ab-9a55-b57e37a5d299","57104ba3-a7a4-446f-850a-b687fcd724b7","BAG36",11:01:00,14.7,"Wet ground",14.9,"b3b8430c-6de7-48b4-beb5-41e40a3dce4c"
"107","5fee606c-6810-41f9-a227-36ff34c2af53","6c76406f-d2da-4cdd-8239-ae398d8a650d","BAG47",10:58:00,15.3,"Wet ground",15.6,"b20f0dd1-e661-40f2-8a1a-ec90791fd04d"
"108","31ebc083-99be-454b-b34d-f2dd9f52ab2e","6c76406f-d2da-4cdd-8239-ae398d8a650d","BAG52",11:01:00,16.3,"Wet ground",16.4,"a78f3e26-bc0a-4ecf-bc36-ecef117c6608"
"109","8c01a419-be8f-4b34-a939-d1f7a37df61f","6c76406f-d2da-4cdd-8239-ae398d8a650d","BAG53",11:11:00,16.8,"Wet ground",17.1,"d14420a8-3c70-4b49-a25a-fa884c68eba1"
"110","3d1d8cc2-e8af-47de-9cb6-f0b3f771a5ec","6c76406f-d2da-4cdd-8239-ae398d8a650d","BAG54",11:21:00,16.4,"Wet ground",16.9,"327449db-a7f5-4701-9976-c55a9851a480"
"111","90b21fb0-e927-4af9-b596-f6bfb61727b0","6c76406f-d2da-4cdd-8239-ae398d8a650d","BAG51",11:32:00,16.7,"Wet ground",16.7,"916bc8e7-4689-4f6b-acee-8f2022ef8df9"
"112","b0338ce5-0ac0-40ad-a969-0aa868b3a8ef","6c76406f-d2da-4cdd-8239-ae398d8a650d","BAG43",11:39:00,16.8,"Wet ground",16.8,"05a36425-3f25-4dbf-b378-93d6e8bc8a6b"
