"","fulcrum_id","location","species","capture_date","cmr_id","cmr_id_other"
"79","a693e329-f871-4247-8d4d-1ca915832a9e","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A3",NA
"80","f152c6ed-4618-4671-ac72-6f573ea37ece","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A4",NA
"81","830a9d2b-02c3-47cb-bc5b-985a81fd7b2b","Wood Lab Pond","Rana catesbeiana",2022-05-27,"B2",NA
"82","776a8e42-c8ed-4e33-936a-d7084502e091","Wood Lab Pond","Rana catesbeiana",2022-05-27,"B3",NA
"83","78c44912-ca51-4143-a400-92b454e64146","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A2",NA
"84","03085e1c-a035-447f-9bfd-142d59db522d","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A3",NA
"85","74b4226a-b0fb-492b-bbea-12c03ed0611f","Wood Lab Pond","Rana catesbeiana",2022-05-27,"A4",NA
"86","c80eee86-7743-4003-8dbe-55542e84c9fc","Phelps Pond","Rana catesbeiana",2022-06-04,"B2",NA
"87","bc8c8f0f-3fc0-4238-b262-9dc62c8728cd","Phelps Pond","Rana catesbeiana",2022-06-04,"B3",NA
"88","55e279cf-b8f9-4627-b306-3ef2094af252","Phelps Pond","Rana catesbeiana",2022-06-04,"B4",NA
"89","d6ddf0f7-2c32-479b-9fca-3922d56c504d","Phelps Pond","Rana catesbeiana",2022-06-04,"A2B2",NA
"90","d16512df-f936-46b3-8833-51ad681256b6","Phelps Pond","Rana catesbeiana",2022-06-04,"A2B3",NA
"91","f4a2c8bb-c8b2-4a4f-b2dc-a1e52aad1eba","RV Pond","Rana catesbeiana",2022-06-04,"A2",NA
"92","aadd5160-95f6-40e5-9f21-ebf1ecd2ee8d","RV Pond","Rana catesbeiana",2022-06-04,"A3",NA
"93","7596b49b-9cb9-4cfa-a576-d70769fba08f","RV Pond","Rana catesbeiana",2022-06-04,"A3A4",NA
"94","18cf979a-b3fa-433c-94e3-1d5522b8f42d","RV Pond","Rana catesbeiana",2022-06-04,"A4",NA
"95","0eedb390-6cb0-4a06-a912-2c2e5d489393","RV Pond","Rana catesbeiana",2022-06-04,"B2",NA
"96","17ad93d0-53d4-4bac-8869-f34ad0ad60b9","RV Pond","Rana catesbeiana",2022-06-04,"B3",NA
"97","87d2e23b-f3d6-49f7-9a33-2918eb5bfc98","RV Pond","Rana catesbeiana",2022-06-04,"B4",NA
"98","f4a2c8bb-c8b2-4a4f-b2dc-a1e52aad1eba","RV Pond","Rana catesbeiana",2022-06-07,"A2",NA
