"","X","fulcrum_id","created_at","fulcrum_parent_id","bag_id","time_of_capture","body_temperature","microhabitat_type","microhabitat_temperature","bag_photo","species"
"34",34,"b15bc6da-32aa-4f36-bc35-786d7faf1dba","2022-05-20 01:03:04 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag02","21:03:00",19.2,"Water",18.8,"fc60daf4-a867-4dae-ae86-cc5243476639",NA
"35",35,"3c08cbb3-c284-4bb3-a304-823d04af0a6e","2022-05-20 01:09:18 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag01","21:09:00",18.3,"Tree/Log/Bush (Lower than 1m)",17.5,"67a45464-e3d2-4e15-b70e-716dda775401",NA
"36",36,"125258d2-62db-489a-b4f9-3b36698d3404","2022-05-20 01:12:42 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag04","21:12:00",18,"Water",17.9,"68778835-4137-4a3a-8300-3fdcfbca25a7",NA
"37",37,"2a4da878-de3a-410f-b518-0b936bc98a54","2022-05-20 01:17:14 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag07","21:17:00",18.2,"Water",18.2,"749377f6-be1b-41b1-855f-17048f501de4",NA
"38",38,"70f2f7d5-d0a0-42c8-b3f3-87251b50c5aa","2022-05-20 01:21:05 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag10","21:21:00",18.2,"Water",18.3,"aa20fbe1-d1d2-4a84-a8cb-921132a752d0",NA
"39",39,"47d44b03-88c2-4204-86c3-def426b50633","2022-05-20 01:25:48 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag08","21:25:00",18.1,"Water",18,"c01ce459-70f0-42ce-8202-034604010ce0",NA
"40",40,"492083bf-770d-4ada-85d7-9da13a21d361","2022-05-20 01:28:59 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag05","21:28:00",18.3,"Water",18.3,"3d702528-f451-4c1d-88e5-2f8c87a918ac",NA
"41",41,"7fce6149-2af8-4bc2-8efc-e02bf4b7f0e8","2022-05-20 01:32:07 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag09","21:32:00",17.8,"Water",18,"f955b55c-6c9f-4eb5-a39d-01cd8d077064",NA
"42",42,"2d0823da-ff06-4ce6-b66c-0d8259e806fd","2022-05-20 01:37:02 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag15","21:37:00",17.6,"Water",17.8,"462bb5df-49ec-4f8f-b71b-018ae889990f",NA
"43",43,"89731d0e-02c0-457f-8861-dfa90a3914b6","2022-05-20 01:40:24 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag21","21:40:00",17.5,"Leaf litter",17.5,"8133ece0-929d-492c-b59e-ac1a2355249d",NA
"44",44,"8ced5f6b-298e-4629-8a31-a2d8fa3612ac","2022-05-20 01:45:28 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag22","21:45:00",17.7,"Water",17.8,"f138bbc6-2cc3-42e1-93c4-b6cd184421e4",NA
"45",45,"3eaf48b5-1e48-46e3-b22d-1976ff580cfe","2022-05-20 01:48:00 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag23","21:48:00",17.9,"Water",18.1,"9bd35ea5-5f93-434e-95d3-fedb4b2de9af",NA
"46",46,"d558ad5e-9fde-4f34-8915-b02622fcd442","2022-05-20 01:52:32 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag24","21:52:00",18.2,"Water",18.3,"38e098c0-83bc-42ea-a36e-bc6ca0483635",NA
"47",47,"58747ee2-ee85-4244-9c3a-573a226aac86","2022-05-20 01:55:01 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag25","21:55:00",18.2,"Water",18.3,"d450b197-3752-4f8b-8026-3aca8cb36265",NA
"48",48,"7928e204-2d85-4f37-a7b2-da2caca2807e","2022-05-20 02:03:27 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag26","22:03:00",18.4,"Water",18.5,"0f46e8b4-5a64-4e70-8232-e9647f779f4b",NA
"49",49,"3b989a29-8ab1-4a2a-9da6-127ad507d60b","2022-05-20 02:21:49 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag13","22:21:00",17.9,"Emergent Vegetation (Higher than 1m)",18.2,"de81c5b4-c9bf-4a1a-ae55-15c4db82d6cd",NA
"50",50,"3cb47eb5-926b-403c-b381-2b2a7e69cdda","2022-05-20 02:24:59 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag12","22:24:00",18.2,"Water",18.3,"8d509db0-4b45-48d4-a664-943d4afed5ff",NA
"51",51,"386dc799-c3b5-49b8-ad91-3d4b481fd66a","2022-05-20 02:31:10 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag03","22:31:00",18.1,"Water",18.5,"9cde3f6c-e658-4ff4-be0e-7656848fa7f3",NA
"52",52,"bbbed750-08db-46f5-a7dd-87bbcd3060e4","2022-05-20 02:34:07 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag11","22:34:00",18.1,"Water",18.4,"7cd806d3-a84e-4eb5-9e9b-7ae234daed04",NA
"53",53,"804617a7-c683-4e1d-bcc1-183bfd1b280d","2022-05-20 02:37:55 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag20","22:37:00",18,"Water",18.1,"e739fd67-a95e-484a-80ff-d624c0ba94de",NA
"54",54,"5d5f5305-fffc-4954-a1db-8cc032081e1b","2022-05-20 02:41:46 UTC","8322e922-3871-46bf-a73c-2fc4985876ba","Bag14","22:41:00",17.7,"Emergent Vegetation (Lower than 1m)",17.7,"ba71afdd-85ad-4528-92da-f812c671fe68",NA
"55",55,"5211a4c3-3834-4452-8064-4b70f9413caf","2022-05-20 01:08:36 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag30","21:08:00",18.2,"Emergent Vegetation (Lower than 1m)",18.4,"f2f3dd03-71a2-448e-91bb-8c42ec59c4c1",NA
"56",56,"26fee85c-d4c1-489e-80bd-400907e9534b","2022-05-20 01:11:30 UTC","a71aec87-0564-48a0-bd5b-daa7b4564ed5","Bag29","21:11:00",18.2,"Emergent Vegetation (Lower than 1m)",18.2,"e22e0c34-ac7c-4027-a950-4ad84d8a217d",NA
