"","fulcrum_id","created_at","fulcrum_parent_id","bag_id","species_capture","species_capture_other","capture_type","capture_type_other","capture_mark_recapture","life_stage","life_stage_other","sex","sex_other","snout_vent_length","body_and_bag_mass","bag_mass","body_mass","bd_swab_tube_id","crispr_swab_tube_id","bacterial_swab_tube_id","mucusome_id","amp_id_1","amp_id_2","amp_id_3","amp_id_4","antibody_id_1","antibody_id_2","antibody_id_3","antibody_id_4","toe_clip_tube_id","capture_comments","time_of_capture","body_temperature","microhabitat_type","microhabitat_temperature"
"50","e39606d7-f651-4ff7-a976-bbe5cf714358","2022-05-13 03:03:56 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,26.4,3.7,2.5,1.2,"2022-05-12-rv-pscr11",NA,NA,"2022-05-12-rv-pscr11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:24:00,14.8,"Dry ground",14.8
"51","a002f286-1b0a-4d60-869b-caed17a5fb26","2022-05-13 03:08:42 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Unknown",NA,21.8,3.1,2.3,0.8,"2022-05-12-rv-pscr12",NA,NA,"2022-05-12-rv-pscr12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:28:00,14.7,"Dry ground",14.7
"52","c7b5ff3d-312e-4306-b2be-52360a66ae5c","2022-05-13 03:13:06 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,25,3.5,2.5,1,"2022-05-12-rv-pscr13",NA,NA,"2022-05-12-rv-pscr13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20:51:00,18.2,"Dry ground",18.2
"53","c3718177-cc07-4595-9af9-a7d6b9c02882","2022-05-13 03:17:32 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,29,3.7,2.4,1.3,"2022-05-12-rv-pscr14",NA,NA,"2022-05-12-rv-pscr14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:14:00,15.3,"Dry ground",15.2
"54","d7920afd-42c6-4861-a61b-afa1edf524aa","2022-05-13 03:22:05 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,25.4,3.5,2.5,1,"2022-05-12-rv-pscr15",NA,NA,"2022-05-12-rv-pscr15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:03:00,17.3,"Tree/Log/Bush (Lower than 1m)",17.3
"55","529c2e86-40bb-449e-b39e-c9ccc5c2673f","2022-05-13 03:26:34 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,25.6,3.7,2.6,1.1,"2022-05-12-rv-pscr16",NA,NA,"2022-05-12-rv-pscr16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:08:00,15.7,"Leaf litter",15.6
"56","898a6e73-59d5-4304-b1c0-3cc276aa82f0","2022-05-13 03:30:35 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Pseudacris crucifer",NA,"New",NA,NA,"Adult",NA,"Male",NA,23.1,3.2,2.1,1.1,"2022-05-12-rv-pscr17",NA,NA,"2022-05-12-rv-pscr17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20:45:00,NA,NA,NA
"57","06ef0863-d88e-4e64-9ad2-9f2eb4f9b33f","2022-05-13 03:36:20 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,40.8,11.75,5.25,6.5,"2022-05-12-rv-hyve18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:33:00,17.8,"Wet ground",17.8
"58","fd624c8f-c4b8-4241-8a2d-8eff7bc7328d","2022-05-13 03:42:52 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,45,14.25,5.5,8.75,"2022-05-12-rv-hyve19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:37:00,19.8,"Water",19.7
"59","1e20bfcb-f81e-46b2-a1c9-a7b1439b6b61","2022-05-13 03:48:25 UTC","b40a6235-d3a6-498b-8cad-5845d07c5378",NA,"Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Unknown",NA,42.6,11,4.5,6.5,"2022-05-12-rv-hyve20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:47:00,21.8,"Water",22.3
