"","fulcrum_id","created_at","location","species","capture_date","cmr_id","cmr_id_other"
"19","60aa8635-cc0d-4275-9049-f74cd2be6ea4","2022-05-19 07:57:42 UTC","Admin Pond","Rana pipiens",2022-05-18,"A4",NA
"20","ab365a83-e2b4-420f-98a7-094e84c0683a","2022-05-19 07:59:36 UTC","Admin Pond","Pseudacris crucifer",2022-05-18,"A2",NA
"21","fcc88102-313d-4cad-a6cf-4082fb8b8c49","2022-05-19 08:02:23 UTC","Admin Pond","Pseudacris crucifer",2022-05-18,"A3",NA
"22","2eb1d0b4-9396-4257-9b86-6ec4556a6c3e","2022-05-20 04:38:58 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"A2A4",NA
"23","ecf4f86d-c80d-4dca-8844-8415f8720a60","2022-05-20 04:48:15 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"A3B4",NA
"24","ce63171b-8e98-40fe-a62f-9561391bb8a4","2022-05-20 04:52:01 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"A4B2",NA
"25","43d7f751-26b8-4ff2-9d67-0ca3ed089e4b","2022-05-20 04:54:46 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"A4B3",NA
"26","faf211aa-8c29-4516-b4a2-b4c430a26029","2022-05-20 04:58:04 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"A4B4",NA
"27","9223dad1-06dd-4544-8f6c-c1097c404dcd","2022-05-20 05:00:51 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"B2B4",NA
"28","77e70f11-73df-48ae-a528-7f6aa000eac9","2022-05-20 05:11:30 UTC","Admin Pond",NA,2022-05-19,"B3B4",NA
"29","cd015c34-b17f-45de-bebc-972aff09cf68","2022-05-20 05:13:41 UTC","Admin Pond",NA,2022-05-19,"A2C4",NA
"30","0ece465b-c22f-44ad-a2b3-60b66810106f","2022-05-20 05:19:39 UTC","Admin Pond",NA,2022-05-19,"A3C4",NA
"31","2ba9fae2-7489-4889-949d-7169c7bb974e","2022-05-20 05:24:18 UTC","Admin Pond",NA,2022-05-19,"A4C4",NA
"32","872ccfa8-29df-44e6-b4a4-49f6bd83a3f6","2022-05-20 05:28:16 UTC","Admin Pond",NA,2022-05-19,"B2C4",NA
"33","c41fcf0a-adbf-4d4e-b604-d5887b7f0c77","2022-05-20 05:32:45 UTC","Admin Pond",NA,2022-05-19,"B2",NA
"34","4bf16a1b-53e3-4bd9-a7f3-5ce95b789758","2022-05-20 05:34:59 UTC","Admin Pond",NA,2022-05-19,"B3",NA
"35","c66d5bf6-5dd6-484d-9579-057a979982d0","2022-05-20 05:35:32 UTC","Admin Pond",NA,2022-05-19,"B4",NA
"36","b04f061e-2f17-4b86-971f-620d3a7e7e13","2022-05-20 05:38:53 UTC","Admin Pond",NA,2022-05-19,"A4",NA
"37","93e1c849-e5cf-4f64-b376-5c6879db98e0","2022-05-20 05:39:59 UTC","Admin Pond",NA,2022-05-19,"A4",NA
"38","b524ad08-f189-4809-ad1c-4a185c022236","2022-05-20 05:40:29 UTC","Admin Pond",NA,2022-05-19,"B2",NA
"39","1a7147a3-ba34-4098-b308-aba3ae980dbf","2022-05-20 05:41:57 UTC","Admin Pond",NA,2022-05-19,"B3",NA
"40","a0841d0b-1197-4fef-beaf-e14eb80f4fcd","2022-05-20 05:46:53 UTC","Admin Pond","Rana catesbeiana",2022-05-19,"A2A3",NA
"41","c1dcc31c-87eb-4537-9470-356e318b9b19","2022-05-20 05:56:47 UTC","Admin Pond",NA,2022-05-19,"A2",NA
"42","f060d7d9-b62f-4ae9-8d65-cf524a94a307","2022-05-20 05:59:44 UTC","Admin Pond",NA,2022-05-19,"A4",NA
"43","903d8341-b574-404e-8659-6a7323041bbe","2022-05-20 06:05:43 UTC","Admin Pond",NA,2022-05-19,NA,"A1A2"
"44","357f2934-a97e-420d-9340-df83654030c3","2022-05-20 06:11:02 UTC","Admin Pond",NA,2022-05-19,"B2",NA
"45","8587650d-e715-469e-bec9-3c1727c51ca1","2022-05-20 06:13:17 UTC","Admin Pond",NA,2022-05-19,"A3B2",NA
"46","63928a8b-bc3f-43eb-912a-c0eaf88444d2","2022-05-20 06:15:22 UTC","Admin Pond",NA,2022-05-19,NA,"B1B2"
"47","71643ec1-cc76-4ccd-b969-09f38eda3867","2022-05-20 06:17:40 UTC","Admin Pond",NA,2022-05-19,"A3B2",NA
"48","2765fa30-d94c-4fcb-9343-55b9133d6ebc","2022-05-20 06:19:46 UTC","Admin Pond",NA,2022-05-19,"A4",NA
"49","0e5ae94d-5bd1-48b2-abd4-cce9c2d9e342","2022-05-20 06:22:25 UTC","Admin Pond",NA,2022-05-19,"A2",NA
"50","85800845-46bf-4672-970d-8c960dd9777c","2022-05-20 06:24:59 UTC","Admin Pond",NA,2022-05-19,"A3",NA
"51","28fa1e78-cc91-4a23-8705-340e7a38a0dd","2022-05-20 06:26:42 UTC","Admin Pond",NA,2022-05-19,"A4",NA
"52","884e45e1-bee9-4794-9894-0b32ddd3b264","2022-05-20 18:50:52 UTC","Admin Pond","Pseudacris crucifer",2022-05-19,"B4",NA
