"","fulcrum_id","created_at","fulcrum_parent_id","bag_id","species_capture","species_capture_other","capture_type","capture_type_other","capture_mark_recapture","life_stage","life_stage_other","sex","sex_other","snout_vent_length","body_and_bag_mass","bag_mass","body_mass","bd_swab_tube_id","bacterial_swab_tube_id","mucusome_id","amp_id_1","amp_id_2","amp_id_3","amp_id_4","antibody_id_1","antibody_id_2","antibody_id_3","antibody_id_4","toe_clip_tube_id","capture_comments"
"24","e89d153a-cb24-4be1-9955-9d8865f50358","2022-06-09 02:49:49 UTC","bbc29661-86df-4567-9f26-1e6c9314eeac","BAG14","Rana catesbeiana",NA,"New",NA,"7f92dbdf-cb5a-48a7-837a-5450b4a46069","Adult",NA,"Female",NA,88.3,74,6,68,"BdSwab000092","BacSwab00092","MucBath00031","AMPBath00031",NA,NA,NA,"AntiBod00031",NA,NA,NA,"ToeClip00023",NA
"25","f45dc64f-d3a7-4895-a199-72f1a9fccbe6","2022-06-15 04:54:53 UTC","6f4b6963-3db7-4f99-9ba3-31687df5d589","BAG32","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,42.7,10,2.8,7.2,"BdSwab00108","BacSwab00108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","6a1a4223-f65f-49be-9c04-67164f83a6f5","2022-06-15 04:58:35 UTC","6f4b6963-3db7-4f99-9ba3-31687df5d589","BAG23","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,43.5,10.5,3.3,7.2,"BdSwab00109","BacSwab00109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","a6a7075f-2360-40d2-a38e-edd780705c6c","2022-06-15 05:01:29 UTC","6f4b6963-3db7-4f99-9ba3-31687df5d589","BAG34","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,38.8,9.1,2.9,6.2,"BdSwab00110","BacSwab00110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","d4c7cd2b-5e0c-4f91-a795-034eb91bb50c","2022-06-15 05:04:35 UTC","6f4b6963-3db7-4f99-9ba3-31687df5d589","BAG21","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,46.3,11.75,2.8,8.95,"BdSwab00111","BacSwab00111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","03da854c-5204-49a7-a1bd-faf32a42b1c6","2022-06-15 05:07:50 UTC","6f4b6963-3db7-4f99-9ba3-31687df5d589","BAG26","Hyla versicolor",NA,NA,NA,NA,"Adult",NA,"Male",NA,42.6,10.5,3,7.5,"BdSwab00112","BacSwab00112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","46ac1d40-284a-40f6-8756-1fab1e9048be","2022-06-15 05:12:14 UTC","6f4b6963-3db7-4f99-9ba3-31687df5d589","BAG25","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,64.7,33,6.3,26.7,"BdSwab00113","BacSwab00113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","7c20642c-f477-44b7-8b0d-e33b653c8d4a","2022-06-15 05:15:47 UTC","6f4b6963-3db7-4f99-9ba3-31687df5d589","BAG47","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,76.6,46,4.25,41.75,"BdSwab00114","BacSwab00114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2d8f77a0-e03d-4b6d-ad36-f7f358663ba3","2022-06-15 05:17:29 UTC","6f4b6963-3db7-4f99-9ba3-31687df5d589","BAG08","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,83.1,58,2.7,55.3,"BdSwab00115","BacSwab00115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","b79e5e4a-372d-449d-9436-0f6ad2c00875","2022-06-15 05:21:57 UTC","6f4b6963-3db7-4f99-9ba3-31687df5d589","BAG10","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Male",NA,59.3,24.5,4.4,20.1,"BdSwab00116","BacSwab00116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","45bdeaf9-6007-477a-bf6b-39f328277503","2022-06-15 05:23:45 UTC","6f4b6963-3db7-4f99-9ba3-31687df5d589","BAG17","Rana clamitans",NA,NA,NA,NA,"Adult",NA,"Female",NA,76.9,48,3,45,"BdSwab00117","BacSwab00117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","85f9892e-65a0-4192-bbec-478984a6c248","2022-06-16 03:53:19 UTC","6c6c44e0-d829-4ebd-a93a-e4455911db4f","BAG46","Rana catesbeiana",NA,"New",NA,"56e06ef3-fadc-4fc3-b859-fc389d7bc595","Juvenile",NA,"Unknown",NA,49,17.25,3.5,13.75,"BdSwab00121","BacSwab00120",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00048",NA
"36","d59bbc53-eaf9-4658-ba4d-ea7a756f641b","2022-06-16 04:03:25 UTC","6c6c44e0-d829-4ebd-a93a-e4455911db4f","BAG02","Rana catesbeiana",NA,"New",NA,"a0f86611-a4af-4302-be8f-101fc4086316","Adult",NA,"Female",NA,74,49,4.2,44.8,"BdSwab00124","BacSwab00123",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00044",NA
"37","54c309e4-9a44-4086-a6b7-fbb5bdabd16b","2022-06-16 04:05:07 UTC","6c6c44e0-d829-4ebd-a93a-e4455911db4f","BAG11","Rana catesbeiana",NA,"New",NA,"9600f036-7dd5-4bb1-bb9b-418cf4a3eae8","Adult",NA,"Female",NA,87.4,77,3.3,73.7,"BdSwab00125","BacSwab00124",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00042",NA
"38","598ef6f4-98cc-4c71-8cca-00f9f78b3ab0","2022-06-16 04:07:34 UTC","6c6c44e0-d829-4ebd-a93a-e4455911db4f","BAG33","Rana catesbeiana",NA,"New",NA,"f60ad4f5-9555-47ff-a10b-8071677624e1","Adult",NA,"Female",NA,62.8,34,5.7,28.3,"BdSwab00126","BacSwab00125",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ToeClip00043",NA
