"fulcrum_id","created_at","location","species","capture_date","cmr_id","cmr_id_other"
"d6ddf0f7-2c32-479b-9fca-3922d56c504d","2022-06-05 03:15:37 UTC","Phelps Pond","Rana catesbeiana",2022-06-04,"A2B2",NA
"d16512df-f936-46b3-8833-51ad681256b6","2022-06-05 03:17:05 UTC","Phelps Pond","Rana catesbeiana",2022-06-04,"A2B3",NA
"f4a2c8bb-c8b2-4a4f-b2dc-a1e52aad1eba","2022-06-08 05:15:09 UTC","RV Pond","Rana catesbeiana",2022-06-04,"A2",NA
"aadd5160-95f6-40e5-9f21-ebf1ecd2ee8d","2022-06-08 05:18:30 UTC","RV Pond","Rana catesbeiana",2022-06-04,"A3",NA
"7596b49b-9cb9-4cfa-a576-d70769fba08f","2022-06-08 05:20:15 UTC","RV Pond","Rana catesbeiana",2022-06-04,"A3A4",NA
"18cf979a-b3fa-433c-94e3-1d5522b8f42d","2022-06-08 05:23:03 UTC","RV Pond","Rana catesbeiana",2022-06-04,"A4",NA
"0eedb390-6cb0-4a06-a912-2c2e5d489393","2022-06-08 05:24:38 UTC","RV Pond","Rana catesbeiana",2022-06-04,"B2",NA
"17ad93d0-53d4-4bac-8869-f34ad0ad60b9","2022-06-08 05:26:34 UTC","RV Pond","Rana catesbeiana",2022-06-04,"B3",NA
"87d2e23b-f3d6-49f7-9a33-2918eb5bfc98","2022-06-08 05:27:41 UTC","RV Pond","Rana catesbeiana",2022-06-04,"B4",NA
"f4a2c8bb-c8b2-4a4f-b2dc-a1e52aad1eba","2022-06-08 05:15:09 UTC","RV Pond","Rana catesbeiana",2022-06-07,"A2",NA
"aadd5160-95f6-40e5-9f21-ebf1ecd2ee8d","2022-06-08 05:18:30 UTC","RV Pond","Rana catesbeiana",2022-06-07,"A3",NA
"7596b49b-9cb9-4cfa-a576-d70769fba08f","2022-06-08 05:20:15 UTC","RV Pond","Rana catesbeiana",2022-06-07,"A3A4",NA
"18cf979a-b3fa-433c-94e3-1d5522b8f42d","2022-06-08 05:23:03 UTC","RV Pond","Rana catesbeiana",2022-06-07,"A4",NA
"0eedb390-6cb0-4a06-a912-2c2e5d489393","2022-06-08 05:24:38 UTC","RV Pond","Rana catesbeiana",2022-06-07,"B2",NA
